timestamp,model_filename,metrics_filename,features_sha256,notes
2025-11-18T17:17:11Z,model_rf_20251118_171711.pkl,metrics_20251118_171711.png,15058de4fecbf785a74929dd8e7b4be5e494c234f8569c5bed008111eb0f2857,
2025-11-18T17:18:13Z,model_rf_20251118_171813.pkl,metrics_20251118_171813.png,15058de4fecbf785a74929dd8e7b4be5e494c234f8569c5bed008111eb0f2857,
2025-11-18T17:20:12Z,model_rf_20251118_172012.pkl,metrics_20251118_172012.png,15058de4fecbf785a74929dd8e7b4be5e494c234f8569c5bed008111eb0f2857,
